frame_index,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw
396,396,0.792000,0,992
397,397,0.794000,0,1002
398,398,0.796000,0,1008
399,399,0.798000,0,1002
400,400,0.800000,0,995
401,401,0.802000,0,995
402,402,0.804000,0,1001
403,403,0.806000,0,1003
404,404,0.808000,0,999
405,405,0.810000,0,996
406,406,0.812000,0,999
407,407,0.814000,0,1004
408,408,0.816000,0,1004
409,409,0.818000,0,997
410,410,0.820000,0,992
411,411,0.822000,0,995
412,412,0.824000,0,1005
413,413,0.826000,0,1009
414,414,0.828000,0,1001
415,415,0.830000,0,990
416,416,0.832000,0,991
417,417,0.834000,0,1003
418,418,0.836000,0,1010
419,419,0.838000,0,1003
420,420,0.840000,0,993
421,421,0.842000,0,992
422,422,0.844000,0,1001
423,423,0.846000,0,1007
424,424,0.848000,0,1002
425,425,0.850000,0,993
426,426,0.852000,0,993
427,427,0.854000,0,1002
428,428,0.856000,0,1008
429,429,0.858000,0,1003
430,430,0.860000,0,993
431,431,0.862000,0,991
432,432,0.864000,0,1001
433,433,0.866000,0,1008
434,434,0.868000,0,1003
435,435,0.870000,0,993
436,436,0.872000,0,992
437,437,0.874000,0,1003
438,438,0.876000,0,1009
439,439,0.878000,0,1001
440,440,0.880000,0,989
441,441,0.882000,0,991
442,442,0.884000,0,1005
443,443,0.886000,0,1012
444,444,0.888000,0,1003
445,445,0.890000,0,989
446,446,0.892000,0,988
447,447,0.894000,0,1000
448,448,0.896000,0,1011
449,449,0.898000,0,1008
450,450,0.900000,0,995
451,451,0.902000,0,987
452,452,0.904000,0,995
453,453,0.906000,0,1008
454,454,0.908000,0,1010
455,455,0.910000,0,998
456,456,0.912000,0,988
457,457,0.914000,0,993
458,458,0.916000,0,1007
459,459,0.918000,0,1012
460,460,0.920000,0,1001
461,461,0.922000,0,989
462,462,0.924000,0,991
463,463,0.926000,0,1003
464,464,0.928000,0,1009
465,465,0.930000,0,1003
466,466,0.932000,0,995
467,467,0.934000,0,996
468,468,0.936000,0,1000
469,469,0.938000,0,1001
470,470,0.940000,0,998
471,471,0.942000,0,998
472,472,0.944000,0,1001
473,473,0.946000,0,1003
474,474,0.948000,0,1000
475,475,0.950000,0,995
476,476,0.952000,0,995
477,477,0.954000,0,1001
478,478,0.956000,0,1006
479,479,0.958000,0,1004
480,480,0.960000,0,996
481,481,0.962000,0,991
482,482,0.964000,0,996
483,483,0.966000,0,1006
484,484,0.968000,0,1008
485,485,0.970000,0,1000
486,486,0.972000,0,992
487,487,0.974000,0,993
488,488,0.976000,0,1001
489,489,0.978000,0,1006
490,490,0.980000,0,1003
491,491,0.982000,0,996
492,492,0.984000,0,995
493,493,0.986000,0,1000
494,494,0.988000,0,1003
495,495,0.990000,0,1001
496,496,0.992000,0,997
497,497,0.994000,0,997
498,498,0.996000,0,1001
499,499,0.998000,0,1003
500,500,1.000000,0,999
501,501,1.002000,0,996
502,502,1.004000,0,998
503,503,1.006000,0,1002
504,504,1.008000,0,1003
505,505,1.010000,0,998
506,506,1.012000,0,996
507,507,1.014000,0,999
508,508,1.016000,0,1003
509,509,1.018000,0,1002
510,510,1.020000,0,997
511,511,1.022000,0,996
512,512,1.024000,0,1000
513,513,1.026000,0,1003
514,514,1.028000,0,1001
515,515,1.030000,0,998
516,516,1.032000,0,997
517,517,1.034000,0,1000
518,518,1.036000,0,1000
519,519,1.038000,0,998
520,520,1.040000,0,999
521,521,1.042000,0,1002
522,522,1.044000,0,1003
523,523,1.046000,0,1000
524,524,1.048000,0,994
525,525,1.050000,0,994
526,526,1.052000,0,1001
527,527,1.054000,0,1008
528,528,1.056000,0,1006
529,529,1.058000,0,995
530,530,1.060000,0,989
531,531,1.062000,0,995
532,532,1.064000,0,1007
533,533,1.066000,0,1010
534,534,1.068000,0,1001
535,535,1.070000,0,991
536,536,1.072000,0,991
537,537,1.074000,0,1001
538,538,1.076000,0,1008
539,539,1.078000,0,1005
540,540,1.080000,0,997
541,541,1.082000,0,994
542,542,1.084000,0,998
543,543,1.086000,0,1001
544,544,1.088000,0,1000
545,545,1.090000,0,999
546,546,1.092000,0,1001
547,547,1.094000,0,1003
548,548,1.096000,0,999
549,549,1.098000,0,993
550,550,1.100000,0,994
551,551,1.102000,0,1004
552,552,1.104000,0,1009
553,553,1.106000,0,1001
554,554,1.108000,0,991
555,555,1.110000,0,991
556,556,1.112000,0,1002
557,557,1.114000,0,1009
558,558,1.116000,0,1004
559,559,1.118000,0,994
560,560,1.120000,0,993
561,561,1.122000,0,1000
562,562,1.124000,0,1004
563,563,1.126000,0,1001
564,564,1.128000,0,997
565,565,1.130000,0,999
566,566,1.132000,0,1002
567,567,1.134000,0,999
568,568,1.136000,0,994
569,569,1.138000,0,997
570,570,1.140000,0,1006
571,571,1.142000,0,1008
572,572,1.144000,0,998
573,573,1.146000,0,989
574,574,1.148000,0,993
575,575,1.150000,0,1005
576,576,1.152000,0,1010
577,577,1.154000,0,1002
578,578,1.156000,0,992
579,579,1.158000,0,994
580,580,1.160000,0,1001
581,581,1.162000,0,1004
582,582,1.164000,0,999
583,583,1.166000,0,997
584,584,1.168000,0,1001
585,585,1.170000,0,1004
586,586,1.172000,0,999
587,587,1.174000,0,992
588,588,1.176000,0,995
589,589,1.178000,0,1006
590,590,1.180000,0,1011
591,591,1.182000,0,1000
592,592,1.184000,0,988
593,593,1.186000,0,990
594,594,1.188000,0,1005
595,595,1.190000,0,1012
596,596,1.192000,0,1003
597,597,1.194000,0,991
598,598,1.196000,0,992
599,599,1.198000,0,1002
600,600,1.200000,0,1006
601,601,1.202000,0,1001
602,602,1.204000,0,996
603,603,1.206000,0,999
604,604,1.208000,0,1003
605,605,1.210000,0,999
606,606,1.212000,0,993
607,607,1.214000,0,998
608,608,1.216000,0,1007
609,609,1.218000,0,1007
610,610,1.220000,0,996
611,611,1.222000,0,988
612,612,1.224000,0,995
613,613,1.226000,0,1008
614,614,1.228000,0,1009
615,615,1.230000,0,998
616,616,1.232000,0,990
617,617,1.234000,0,995
618,618,1.236000,0,1005
619,619,1.238000,0,1005
620,620,1.240000,0,998
621,621,1.242000,0,995
622,622,1.244000,0,1000
623,623,1.246000,0,1004
624,624,1.248000,0,1000
625,625,1.250000,0,994
626,626,1.252000,0,996
627,627,1.254000,0,1005
628,628,1.256000,0,1007
629,629,1.258000,0,997
630,630,1.260000,0,989
631,631,1.262000,0,995
632,632,1.264000,0,1008
633,633,1.266000,0,1010
634,634,1.268000,0,998
635,635,1.270000,0,989
636,636,1.272000,0,994
637,637,1.274000,0,1004
638,638,1.276000,0,1006
639,639,1.278000,0,1001
640,640,1.280000,0,996
641,641,1.282000,0,998
642,642,1.284000,0,1001
643,643,1.286000,0,999
644,644,1.288000,0,996
645,645,1.290000,0,1000
646,646,1.292000,0,1005
647,647,1.294000,0,1004
648,648,1.296000,0,996
649,649,1.298000,0,993
650,650,1.300000,0,999
651,651,1.302000,0,1005
652,652,1.304000,0,1003
653,653,1.306000,0,997
654,654,1.308000,0,996
655,655,1.310000,0,1002
656,656,1.312000,0,1003
657,657,1.314000,0,998
658,658,1.316000,0,994
659,659,1.318000,0,998
660,660,1.320000,0,1004
661,661,1.322000,0,1005
662,662,1.324000,0,999
663,663,1.326000,0,994
664,664,1.328000,0,996
665,665,1.330000,0,1003
666,666,1.332000,0,1004
667,667,1.334000,0,999
668,668,1.336000,0,994
669,669,1.338000,0,998
670,670,1.340000,0,1005
671,671,1.342000,0,1004
672,672,1.344000,0,997
673,673,1.346000,0,993
674,674,1.348000,0,997
675,675,1.350000,0,1004
676,676,1.352000,0,1005
677,677,1.354000,0,1000
678,678,1.356000,0,996
679,679,1.358000,0,997
680,680,1.360000,0,1000
681,681,1.362000,0,1000
682,682,1.364000,0,1000
683,683,1.366000,0,1000
684,684,1.368000,0,1003
685,685,1.370000,0,1002
686,686,1.372000,0,996
687,687,1.374000,0,992
688,688,1.376000,0,998
689,689,1.378000,0,1008
690,690,1.380000,0,1008
691,691,1.382000,0,998
692,692,1.384000,0,989
693,693,1.386000,0,993
694,694,1.388000,0,1004
695,695,1.390000,0,1008
696,696,1.392000,0,1003
697,697,1.394000,0,996
698,698,1.396000,0,994
699,699,1.398000,0,998
700,700,1.400000,0,1001
701,701,1.402000,0,1001
702,702,1.404000,0,1002
703,703,1.406000,0,1003
704,704,1.408000,0,1000
705,705,1.410000,0,995
706,706,1.412000,0,992
707,707,1.414000,0,999
708,708,1.416000,0,1009
709,709,1.418000,0,1009
710,710,1.420000,0,996
711,711,1.422000,0,987
712,712,1.424000,0,993
713,713,1.426000,0,1008
714,714,1.428000,0,1012
715,715,1.430000,0,1001
716,716,1.432000,0,989
717,717,1.434000,0,992
718,718,1.436000,0,1004
719,719,1.438000,0,1007
720,720,1.440000,0,1000
721,721,1.442000,0,995
722,722,1.444000,0,999
723,723,1.446000,0,1004
724,724,1.448000,0,1000
725,725,1.450000,0,994
726,726,1.452000,0,996
727,727,1.454000,0,1005
728,728,1.456000,0,1009
729,729,1.458000,0,999
730,730,1.460000,0,988
731,731,1.462000,0,991
732,732,1.464000,0,1006
733,733,1.466000,0,1013
734,734,1.468000,0,1003
735,735,1.470000,0,990
736,736,1.472000,0,990
737,737,1.474000,0,1001
738,738,1.476000,0,1008
739,739,1.478000,0,1003
740,740,1.480000,0,996
741,741,1.482000,0,996
742,742,1.484000,0,1000
743,743,1.486000,0,1001
744,744,1.488000,0,998
745,745,1.490000,0,998
746,746,1.492000,0,1001
747,747,1.494000,0,1002
748,748,1.496000,0,1000
749,749,1.498000,0,998
750,750,1.500000,0,998
751,751,1.502000,0,999
752,752,1.504000,0,1000
753,753,1.506000,0,1001
754,754,1.508000,0,1001
755,755,1.510000,0,999
756,756,1.512000,0,998
757,757,1.514000,0,1000
758,758,1.516000,0,1001
759,759,1.518000,0,1000
760,760,1.520000,0,997
761,761,1.522000,0,997
762,762,1.524000,0,1000
763,763,1.526000,0,1004
764,764,1.528000,0,1002
765,765,1.530000,0,997
766,766,1.532000,0,995
767,767,1.534000,0,998
768,768,1.536000,0,1002
769,769,1.538000,0,1002
770,770,1.540000,0,1000
771,771,1.542000,0,999
772,772,1.544000,0,999
773,773,1.546000,0,998
774,774,1.548000,0,997
775,775,1.550000,0,999
776,776,1.552000,0,1002
777,777,1.554000,0,1004
778,778,1.556000,0,1000
779,779,1.558000,0,995
780,780,1.560000,0,995
781,781,1.562000,0,1000
782,782,1.564000,0,1006
783,783,1.566000,0,1004
784,784,1.568000,0,995
785,785,1.570000,0,991
786,786,1.572000,0,998
787,787,1.574000,0,1008
